Vertical,Sub Vertical,Capability Name,Capability Description,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description,Applications,API,Organization Units
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Performance & Attribution data,"Benchmark, attribution methods, GIPS classification etc",User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Data integration,Source and target systems,User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Pricing Matrix Comparison,Compass compares with Pricing Matrix to determine type of customer and services,Compare data,Compass compares with Pricing Matrix to determine type of customer and services,Client profile,"AUM, Number of portfolios, Geos etc",Knowledge Base :Pricing Matrix,Pricing Matrix comparator API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Pricing Matrix Comparison,Compass compares with Pricing Matrix to determine type of customer and services,Compare data,Compass compares with Pricing Matrix to determine type of customer and services,Asset classes,"Asset classes like Equity, Fixed income, Forex etc",Knowledge Base :Pricing Matrix,Pricing Matrix comparator API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Pricing Matrix Comparison,Compass compares with Pricing Matrix to determine type of customer and services,Compare data,Compass compares with Pricing Matrix to determine type of customer and services,Services Scope,All Services,Knowledge Base :Pricing Matrix,Pricing Matrix comparator API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Pricing Matrix Comparison,Compass compares with Pricing Matrix to determine type of customer and services,Compare data,Compass compares with Pricing Matrix to determine type of customer and services,Technology & Third party,"OMS, IBOR, Data providers, Custodians, Brokers",Knowledge Base :Pricing Matrix,Pricing Matrix comparator API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Pricing Matrix Comparison,Compass compares with Pricing Matrix to determine type of customer and services,Compare data,Compass compares with Pricing Matrix to determine type of customer and services,Implementation Standards,"Number of test runs, test environments, standard cycle time for BUAT/CUAT",Knowledge Base :Pricing Matrix,Pricing Matrix comparator API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Standard Requirements,Identify standard requirements,Standard Specs,"In the requirements, identify which are the standard requirements already covered by existing version of Alpha",Standard elements,Out of the box features,Knowledge Base : Standard Spec,StandardSpec API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Non-Standard Requirement,Identify non standard requirements,Non-Standard Specs,"In the requirements, identify which are the requirements that need to be built or customized on Alpha",Non-Standard elements,Customizations,Knowledge Base : Standard Spec,StandardSpec API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Estimation,Estimate standard requirements,Standard Specs,Calculate the time requirement to set up the standard requirements in Alpha for the new customer,Time in weeks,time taken for the implementation,Knowledge Base : Standard Spec,StandardSpec API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Estimation,Estimate non standard requirements,Non-Standard Specs,Calculate the time requirement to set up the non-standard requirements in Alpha for the new customer,Time in weeks,time taken for the implementation,Knowledge Base : Non Standard Spec,NonStandardSpec Estimates API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Planning,Create the draft program plan based on KB,Program plan,Prepare the draft program plan based on program plans that were prepared for similar customer onboarding,Tasks/Sub tasks,Tasks in the program,Knowledge Base: Program Plan,Program Plan API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Planning,Create the draft program plan based on KB,Program plan,Prepare the draft program plan based on program plans that were prepared for similar customer onboarding,Start date,date,Knowledge Base: Program Plan,Program Plan API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Planning,Create the draft program plan based on KB,Program plan,Prepare the draft program plan based on program plans that were prepared for similar customer onboarding,End date,date,Knowledge Base: Program Plan,Program Plan API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Planning,Create the draft program plan based on KB,Program plan,Prepare the draft program plan based on program plans that were prepared for similar customer onboarding,Resource name,responsible person,Knowledge Base: Program Plan,Program Plan API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Parties & Definition,Contracting parties,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Scope of services,Scope of services,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Onboarding & Implementation plan,Onboarding & Implementation plan,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Client responsibilties,Client responsibilties,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Service levels (SLA),Standard and non standard SLAs,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Fees and commercial terms,Fees and commercial terms,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Data governance & Ownership,Data governance & Ownership,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Information security,Information security,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Privacy & Data protection,Privacy & Data protection,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Custody,Custody,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Accounting & Valuation,Accounting & Valuation,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Liabilities and indemnifications,Liabilities and indemnifications,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,BCP & DR,BCP & DR,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Intellectual property,Intellectual property,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,First Draft,Create the first draft of the contract from KB,Contract ,Prepare the draft contract based on contracts that were prepared for similar customer onboarding,Terms and Termination,Terms and Termination,Knowledge Base: Contract,Contract API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Mobilization,"Process during which the Project Management team prepares the plan for the onboarding, mobilizes the necessary resources etc",PMO Plans,Create the template for all the plans required ,Program plan,Prepare the draft plans for all the sub-phases of the pre-contract phase based on the plans prepared in the past for similar onboarding,Program data,Details of the program,Knowledge Base: Program Plan,Program Plan API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Design,"Process during which the requirements of the new customer is mapped to the Alpha platform, customizations required are finalized and configuration plans are built",Gap analysis,create the gap analysis document,Gap Analysis Report,Compare the customer requirements and existing features of the Alpha platform and create a document with the gaps,Gap Analysis Report,Gap Analysis Report,Knowledge base: Gap Analysis,Gap Analysis API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Configure & Build,"Process during which Customer's requirements are implemented on the Alpha platform, customizations are built and data mapping done",Feed analysis ,Compare the new data feed with target specs and create the interface document,Interface document,Compare the data feeds of the new customer with the Alpha data specifications and identify the changes to be made; Prepare an interface document mapping the incoming data feed with Alpha data,Interface document,Interface document,Knowledge base: Feed analysis,Feeds API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Testing,Process during which State Street team tests the new instance to ensure the requirements are met and the business outcomes of the customer are properly realized in UAT environment,Test planning,Test plan creation,Test Plan,Create the test plans using the customer requirements based on the past test plans for similar customers,Test Plan,Test Plan,Knowledge Base: Test plan,test plan API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Go Live Readiness,Process during which Statestreet prepares the checklists for ensuring production readiness,Golive Checklist,Provide the standard checklist to PM,Golive Checklist,Provide the standard checklist to PM,Golive Checklist,Golive Checklist,Knowledge Base: Go live checklist,Checklist API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Conversion,Process during which State Street checks that all the data from the customer has been onboarded acurately and applications are performing as expected,Conversion Checklist,Provide the standard checklist to PM,Conversion Checklist,Provide the standard checklist to PM,Conversion Checklist,Conversion Checklist,Knowledge Base: Conversion checklist,Checklist API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Prod Parallel,Process during which the onboarded applications are used in a limited manner to test in production behavior performance of the applications,Test planning,Provide the prod parallel testplan to PM,Prodparallel Test plan,Provide the prod parallel testplan to PM,Prodparallel Test plan,Prodparallel Test plan,Knowledge Base: Prod paralel test plan,Prodparallel Test API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Go Live Hypercare,Process during which the application is supported after it has become live in production,GoLive Checklist,Provide the standard checklist to PM,GoliveHyper care Checklist,Provide the standard checklist to PM,GoliveHyper care Checklist,GoliveHyper care Checklist,Knowledge Base: Go live checklist,HypercareChecklist API,
