Vertical,Sub Vertical,Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Element,Organization Units,Applications
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Investment profile,Existing Investment Exposure,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Investment profile,Investment Activity,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Investment profile,Financial Goals,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Investment profile,Life-Stage Triggers,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Banking behavior,Income Stability,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Banking behavior,Banking Behaviour,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Banking behavior,Digital Engagement,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Banking behavior,Cross-Sell Potential,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Classification,Categorize leads by fit and readiness using predefined criteria,Segments,Income,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Classification,Categorize leads by fit and readiness using predefined criteria,Segments,Investable assets,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Classification,Categorize leads by fit and readiness using predefined criteria,Segments,Net worth,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Data Collection,"Gather essential firmographics, contacts, pain points, and preliminary compliance details to enable qualification.",Financial snapshot,Income,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Data Collection,"Gather essential firmographics, contacts, pain points, and preliminary compliance details to enable qualification.",Financial snapshot,Assets,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Data Collection,"Gather essential firmographics, contacts, pain points, and preliminary compliance details to enable qualification.",Financial snapshot,Liabilities,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Data Collection,"Gather essential firmographics, contacts, pain points, and preliminary compliance details to enable qualification.",Investment position,% invested,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Data Collection,"Gather essential firmographics, contacts, pain points, and preliminary compliance details to enable qualification.",Investment position,Idle Cash ,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Data Collection,"Gather essential firmographics, contacts, pain points, and preliminary compliance details to enable qualification.",Behavioural insights ,Risk Appetite,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Data Collection,"Gather essential firmographics, contacts, pain points, and preliminary compliance details to enable qualification.",Behavioural insights ,Transactions,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Wealth strength,Net Worth ,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Wealth strength,Investable Assets ,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Wealth strength,Income stability ,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Liquidity potential,Idle cash ,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Liquidity potential,Monthly surplus ,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Liquidity potential,Bank balances ,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Investment readiness,% invested,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Investment readiness,Transaction activity,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Intent & Life triggers,Goals,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Intent & Life triggers,upcoming events,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Advisory opportunity,engagement level,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Analysing the Prospect,"Assess needs, value potential, and risks to determine suitability and recommended next action.",Advisory opportunity,Cross-Sell Potential,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Prospect allocation to advisor,"Assign qualified prospects to the best-suited advisor based on expertise, capacity, and territory.",Advisor profile,Advisor expertise,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Prospect allocation to advisor,"Assign qualified prospects to the best-suited advisor based on expertise, capacity, and territory.",Advisor profile,Number of existing clients,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Prospect allocation to advisor,"Assign qualified prospects to the best-suited advisor based on expertise, capacity, and territory.",Investment profile,Investment goals,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Prospect allocation to advisor,"Assign qualified prospects to the best-suited advisor based on expertise, capacity, and territory.",Investment profile,Investable assets,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Prospect allocation to advisor,"Assign qualified prospects to the best-suited advisor based on expertise, capacity, and territory.",Risk metrics,Risk level,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Prospect analysis by Advisor,Advisor analyses each prospect before client interaction,Manual,,,
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Summarise prospect based on social media or public data,Create a concise intelligence snapshot from public sources to personalise the meeting.,Social Profile,Job,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Summarise prospect based on social media or public data,Create a concise intelligence snapshot from public sources to personalise the meeting.,Social Profile,Company name,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Summarise prospect based on social media or public data,Create a concise intelligence snapshot from public sources to personalise the meeting.,Social Profile,Relocation or location,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Summarise prospect based on social media or public data,Create a concise intelligence snapshot from public sources to personalise the meeting.,Social Profile,Promotion,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Q&A Preparation,Draft targeted questions and expected answers to efficiently surface priorities and constraints during the call.,Financial basis,Financial Goals,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Q&A Preparation,Draft targeted questions and expected answers to efficiently surface priorities and constraints during the call.,Liquidity basis,cash not invested,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Q&A Preparation,Draft targeted questions and expected answers to efficiently surface priorities and constraints during the call.,Investment behavior,types of investments,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Q&A Preparation,Draft targeted questions and expected answers to efficiently surface priorities and constraints during the call.,Risk metrics,Risk tolerance,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Schedule  Meeting ,Agree and calendar a time?boxed advisor meeting with agenda,Time basis,calendar,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Real time assistance on the call or in meeting,"Provide live support (notes, prompts, or SME backup) to the advisor during the interaction.",Client snapshot,Risk tolerance,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
