Vertical,Sub Vertical,Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description,Organization Units,Applications
Banking,Mortgage Lending,Mortgage Origination,Product Selection,Determine eligible mortgage products,Product Recommendation,Apply Product eligibility rules,Product Recommendation,Products Recommended by AI Agent,Product Type,Loan Product Type,Product Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Product Selection,Determine eligible mortgage products,Product Recommendation,Apply Product eligibility rules,Product Recommendation,Products Recommended by AI Agent,Interest Rate,Product Interest Rate,Product Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Product Selection,Determine eligible mortgage products,Product Recommendation,Apply Product eligibility rules,Product Recommendation,Products Recommended by AI Agent,Product Fee,Product Fee,Product Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Product Selection,Determine eligible mortgage products,Product Recommendation,Apply Product eligibility rules,Product Recommendation,Products Recommended by AI Agent,Mortgage Amount,Monthly Mortgage Amount,Product Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Product Selection,Determine eligible mortgage products,Product Recommendation,Apply Product eligibility rules,Product Recommendation,Products Recommended by AI Agent,APRC,Annual % Rate of Charge,Product Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Credit Assessment,Assess customer credit profile,Credit Risk assessment,Capture declared credit information,Credit Profile,Customer credit history,Credit Score,Applicant Credit Score,Risk,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Credit Assessment,Assess customer credit profile,Credit Risk assessment,Capture declared credit information,Credit Profile,Customer credit history,CCJs,Applicant CCJs,Risk,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Credit Assessment,Assess customer credit profile,Credit Risk assessment,Capture declared credit information,Credit Profile,Customer credit history,Defaults,Applicant Defaults,Risk,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Credit Assessment,Assess customer credit profile,Credit Risk assessment,Capture declared credit information,Credit Profile,Customer credit history,Bankruptcy,Applicant Bankruptcy,Risk,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Credit Assessment,Assess customer credit profile,Credit Risk assessment,Capture declared credit information,Credit Profile,Customer credit history,Electoral Roll Status,Application ER Status,Risk,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Affordability assessment,Assess affordability,Financial assessment,Capture Commitments,Finical Profile,Monthly Commitments,Household Expense,Applicant Expense,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Affordability assessment,Assess affordability,Financial assessment,Capture Commitments,Finical Profile,Monthly Commitments,Existing Mortgage,Applicant Existing Mortgage Amount,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Affordability assessment,Assess affordability,Financial assessment,Capture Commitments,Finical Profile,Monthly Commitments,Existing Credit Card,Applicant CC Amount,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Affordability assessment,Assess affordability,Financial assessment,Capture Commitments,Finical Profile,Monthly Commitments,Deficit / Surplus,Calculate  D/S ,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Affordability assessment,Assess affordability,Financial assessment,Capture Commitments,Finical Profile,Monthly Commitments,Affordability Status,Calculate  Affordability Status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Document verification,Validate supporting documents,Document Review,Verify mandatory documents,Document Set,Upload Mortgage documents,Document ID,Unique ID,Operations,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Document verification,Validate supporting documents,Document Review,Verify mandatory documents,Document Set,Upload Mortgage documents,Document Name,Document Type,Operations,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Underwriting Mortgage Assessment,Prepare Underwriter pack  and capture underwriter decision,Underwriting Preparation & Decision,Consolidate assessment results,Underwriting assessment results,AI generated underwriting recommendation & Capture underwriter decision,LTV,Calculate Loan to Value,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Underwriting Mortgage Assessment,Prepare Underwriter pack  and capture underwriter decision,Underwriting Preparation & Decision,Consolidate assessment results,Underwriting assessment results,AI generated underwriting recommendation & Capture underwriter decision,Affordability Result,Calculate Status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Underwriting Mortgage Assessment,Prepare Underwriter pack  and capture underwriter decision,Underwriting Preparation & Decision,Consolidate assessment results,Underwriting assessment results,AI generated underwriting recommendation & Capture underwriter decision,Credit Risk Result,Calculate Credit Status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Underwriting Mortgage Assessment,Prepare Underwriter pack  and capture underwriter decision,Underwriting Preparation & Decision,Consolidate assessment results,Underwriting assessment results,AI generated underwriting recommendation & Capture underwriter decision,Property Risk Result,Calculate Property Risk,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Underwriting Mortgage Assessment,Prepare Underwriter pack  and capture underwriter decision,Underwriting Preparation & Decision,Consolidate assessment results,Underwriting assessment results,AI generated underwriting recommendation & Capture underwriter decision,Document Verification Result,Document Verification Status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Underwriting Mortgage Assessment,Prepare Underwriter pack  and capture underwriter decision,Underwriting Preparation & Decision,Consolidate assessment results,Underwriting assessment results,AI generated underwriting recommendation & Capture underwriter decision,Recommended Product,Show Recommended Products,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Underwriting Mortgage Assessment,Prepare Underwriter pack  and capture underwriter decision,Underwriting Preparation & Decision,Consolidate assessment results,Underwriting assessment results,AI generated underwriting recommendation & Capture underwriter decision,Underwriter Recommendation,Show Recommendation for Underwriter,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Underwriting Mortgage Assessment,Prepare Underwriter pack  and capture underwriter decision,Underwriting Preparation & Decision,Consolidate assessment results,Underwriting assessment results,AI generated underwriting recommendation & Capture underwriter decision,Underwriter status,Capture Underwriter Status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Underwriting Mortgage Assessment,Prepare Underwriter pack  and capture underwriter decision,Underwriting Preparation & Decision,Consolidate assessment results,Underwriting assessment results,AI generated underwriting recommendation & Capture underwriter decision,Underwriter Special Conditions,Capture Underwriter Special conditions,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Offer Date,Generate Offer Date,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Offer Expiry Date,Generate Offer Expiry Date,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Approved Loan Amount,Loan Amount approved,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Product Name,Product Name,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Interest Rate,Product Interest Rate,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Monthly Payment,Monthly Mortgage Amount,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Mortgage term,Applicant Purchase Term,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Special conditions,Underwriter Special Conditions,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Offer status,Generate Offer status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Generate & Issue mortgage offer,Mortgage offer generation,Generate mortgage offer based on underwriter approval,Mortgage offer ,Formal mortgage offer issued to customer,Offer Reference Number,Generate Offer Reference Number,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Capture customer acceptance,Offer acceptance ,record customer acceptance of Mortgage offer,Offer Acceptance,Customer response to mortgage offer,Acceptance Date,Applicant Acceptance Date,Customer,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Capture customer acceptance,Offer acceptance ,record customer acceptance of Mortgage offer,Offer Acceptance,Customer response to mortgage offer,Acceptance status,Applicant Acceptance Status,Customer,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Capture customer acceptance,Offer acceptance ,record customer acceptance of Mortgage offer,Offer Acceptance,Customer response to mortgage offer,Customer confirmation,Applicant Confirmation Flag,Customer,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Offer Management,Capture customer acceptance,Offer acceptance ,record customer acceptance of Mortgage offer,Offer Acceptance,Customer response to mortgage offer,Digital Signature Flag,Signature Flag,Customer,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Legal Conveyancing ,Complete legal property checks,Conveyancing & Legal Review,Validation Legal readiness for completion,Legal Assessment,Legal and Conveyancing information,Solicitor Name,Applicant/Bank Solicitor Name,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Legal Conveyancing ,Complete legal property checks,Conveyancing & Legal Review,Validation Legal readiness for completion,Legal Assessment,Legal and Conveyancing information,Solicitor Firm,Applicant/Bank Solicitor Firm,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Legal Conveyancing ,Complete legal property checks,Conveyancing & Legal Review,Validation Legal readiness for completion,Legal Assessment,Legal and Conveyancing information,Solicitor Account,Solicitor Account Details,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Legal Conveyancing ,Complete legal property checks,Conveyancing & Legal Review,Validation Legal readiness for completion,Legal Assessment,Legal and Conveyancing information,Title Verification Status,Property Title verification status,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Legal Conveyancing ,Complete legal property checks,Conveyancing & Legal Review,Validation Legal readiness for completion,Legal Assessment,Legal and Conveyancing information,Property Search Status,Property Search Status,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Legal Conveyancing ,Complete legal property checks,Conveyancing & Legal Review,Validation Legal readiness for completion,Legal Assessment,Legal and Conveyancing information,Legal Enquiry Status,Legal Enquiry Status,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Legal Conveyancing ,Complete legal property checks,Conveyancing & Legal Review,Validation Legal readiness for completion,Legal Assessment,Legal and Conveyancing information,Deposit Verification Status,Deposit verification Status,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Legal Conveyancing ,Complete legal property checks,Conveyancing & Legal Review,Validation Legal readiness for completion,Legal Assessment,Legal and Conveyancing information,Legal Completion Status,Legal Completion Status,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion Preparation,Validate readiness for completion,Pre-completion Review,Perform final validation before releasing fund,Completion Assessment,Final Completion readiness assessment,Conditions Satisfied Flag,Special Conditions Satisfied,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion Preparation,Validate readiness for completion,Pre-completion Review,Perform final validation before releasing fund,Completion Assessment,Final Completion readiness assessment,Final Credit Check Status,Final Credit Check Status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion Preparation,Validate readiness for completion,Pre-completion Review,Perform final validation before releasing fund,Completion Assessment,Final Completion readiness assessment,Final Document Status,Final Document Status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion Preparation,Validate readiness for completion,Pre-completion Review,Perform final validation before releasing fund,Completion Assessment,Final Completion readiness assessment,Legal Completion Status,Legal Completion Status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion Preparation,Validate readiness for completion,Pre-completion Review,Perform final validation before releasing fund,Completion Assessment,Final Completion readiness assessment,Completion Date,Completion Date,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion Preparation,Validate readiness for completion,Pre-completion Review,Perform final validation before releasing fund,Completion Assessment,Final Completion readiness assessment,Completion Readiness Status,Completion Readiness Status,Underwriting,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Release mortgage funds,Fund Release ,Release approved mortgage funds,Fund Release ,Mortgage Fund disbursement details,Release Amount,Loan Amount,Finance,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Release mortgage funds,Fund Release ,Release approved mortgage funds,Fund Release ,Mortgage Fund disbursement details,Solicitor Account,Solicitor Account ,Finance,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Release mortgage funds,Fund Release ,Release approved mortgage funds,Fund Release ,Mortgage Fund disbursement details,Release date,Release date of loan amount,Finance,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Release mortgage funds,Fund Release ,Release approved mortgage funds,Fund Release ,Mortgage Fund disbursement details,Payment Reference,Unique ID of Transaction,Finance,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Release mortgage funds,Fund Release ,Release approved mortgage funds,Fund Release ,Mortgage Fund disbursement details,Fund Release Status,Fund Release Status,Finance,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Complete Mortgage setup,Mortgage Completion,Finalize mortgage and activate account,Mortgage account,Active Mortgage account information,Mortgage account Number,New account number,Servicing,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Complete Mortgage setup,Mortgage Completion,Finalize mortgage and activate account,Mortgage account,Active Mortgage account information,Completion Date,Capture completion date,Servicing,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Complete Mortgage setup,Mortgage Completion,Finalize mortgage and activate account,Mortgage account,Active Mortgage account information,Loan Amount,Loan Amount,Servicing,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Complete Mortgage setup,Mortgage Completion,Finalize mortgage and activate account,Mortgage account,Active Mortgage account information,Product Name,Product Name,Servicing,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Complete Mortgage setup,Mortgage Completion,Finalize mortgage and activate account,Mortgage account,Active Mortgage account information,Interest Rate,Interest Rate,Servicing,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Completion,Complete Mortgage setup,Mortgage Completion,Finalize mortgage and activate account,Mortgage account,Active Mortgage account information,Mortgage Status,Mortgage Status,Servicing,Agentic AI Mortgage Platform
