Vertical,Sub Vertical,Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description,Organization Units,Applications
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Establish modified repayment based on rate change,EMI Recalculation,Recalculate repayment amount,Repayment Schedule,Planned repayment schedule for the life of the loan,EMI Amount,,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Notification to customer based on rate change,Customer Notification,Notify rate/payment change,Communication,Customer communication generated during servicing activities,Notification ID,Reference for customer notification,Customer Service,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Establishment of new product based on change to variable,Product Switch,Apply new product terms,Product,Mortgage product details and lifecycle,Product Type,Mortgage product selected or applied,Product Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Service request capture,Request Capture,Capture servicing request,Request,Validation of loan account setup & conformance to product mapping,Request Type,Type of customer servicing request,Customer Service,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Service request validation based on product parameters,Request Validation,Validate eligibility rules,Loan Account,Validation of loan account setup & conformance to product mapping,Eligibility Flag,Indicator showing whether the request meets policy criteria,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Application of lumpsum & adjustment if excess paid,Overpayment Processing,Apply lump sum payment,Payment,Lumpsum payment & adjustment to loan account,Overpayment Amount,Additional payment made above scheduled instalment,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Part payment & adjustment of principal,Partial Redemption,Reduce outstanding principal,Loan Account,Loan account principal adjustment,Principal Balance,Outstanding principal loan amount,,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Part payment & adjustment of tenor,Term Modification,Update loan tenure,Loan Account,Planned repayment schedule for the life of the loan,Term,Remaining or revised mortgage tenure,,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Recalculation of EMI,EMI Recalculation,Recalculate repayment schedule following modification to loan terms,Repayment Schedule,Planned repayment schedule for the life of the loan,EMI Amount,Revised monthly instalment amount,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Repayment/date modification,Payment Modification,Change repayment date/type,Payment Schedule,Planned repayment schedule for the life of the loan,Payment Date,Repayment date / type modification,Payments Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Customer static data modification,Customer Data Update,Update bank/contact details,Customer,Customer static data modification,Bank Details,Customer static data modification,Customer Service,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking(Payment Execution),Establish repayment source account for direct debit,Payment Processing,Initiate Direct Debit collection,Payment,Loan repayment account validation & confirmation,Payment Amount,Amount collected or due for repayment,Payments Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking(Payment Execution),Establish repayment source account for direct debit,Payment Processing,Post payment to account,Payment,Loan repayment account validation & confirmation,Payment Status,Status of mortgage payment processing,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking(Payment Execution),Updation of loan account balances based on repayments,Payment Reconciliation,Update outstanding balance,Loan Account,Updation of loan account balances based on repayments,Outstanding Balance,Remaining balance after payment application,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking(Early Monitoring),Tracking of repayments as per defined frequency,Payment Monitoring,Detect missed/failed payments,Payment,Tracking & accounting of missed instalments,Missed Payment Flag,Indicator of a missed or failed payment,Risk Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking(Early Monitoring),Early warning signals,Behaviour Analysis,Assess customer risk signals,Risk Profile,Risk assessment based on repayment track record,Risk Score,Calculated measure of borrower repayment risk,Risk Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking(Early Monitoring),Early warning signals,Alert Generation,Generate early warning alerts,Alert,Early warning alerts based on late payments,Alert ID,Unique identifier for servicing alert,Risk Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking(Early Monitoring),Early warning signals & alerts,Customer Outreach,Initiate customer contact,Communication,Establish customer contact,Contact Status,Status of customer outreach activity,Customer Service,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Arrears Mgmt & Resolution),"Establishment of overdue interest, overdue principal, penal interest, penal principal.",Arrears Calculation,Calculate overdue amount,Arrears,"Establishment of overdue interest, overdue principal, penal interest, penal principal & charges if any",Arrears Amount,Total overdue balance outstanding,Collections,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Arrears Mgmt & Resolution),Establish arrears notice,Arrears Notification,Send arrears notice,Communication,Establishment and generation of arrears notice,Notice Date,Date arrears notification was issued,Collections,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Arrears Mgmt & Resolution),Establish negotiated repayment plan,Forbearance Setup,Create repayment plan,Repayment Plan,Negotiated repayment,Plan Type,Type of agreed repayment arrangement,Collections,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Arrears Mgmt & Resolution),Establish collection & recovery according to the modified repayment plan,Payment Recovery,Apply arrears payment,Payment,Adjustment of arrears,Cleared Amount,Amount recovered against arrears,Collections,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Arrears Mgmt & Resolution),Estabish reinstatement of loan status,Status Normalization,Return account to active,Loan Account,Reinstatement of loan status from NPA to active,Account Status,Current servicing status of the mortgage account,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Possession/Sale),Establish litigation process,Legal Initiation,Open legal case,Legal Case,Loan litigation,Case ID,Unique identifier for legal recovery case,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Possession/Sale),Collateral revaluation,Property Valuation,Assess collateral value,Property,Assess collateral value,Property Value,Assessed market value of the mortgaged property,Valuation Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Possession/Sale),Establish collateral disposal,Property Sale,Execute property sale,Property,Monetize value from sale of collateral proceeds,Sale Value,Value realized from sale of the property,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Possession/Sale),Establish shortfall / surplus from sale proceeds of collateral,Settlement Processing,Calculate shortfall/surplus,Settlement,Apply sale proceeds to arrive at shortfall/surplus,Shortfall Amount,Remaining debt after settlement proceeds applied,Finance,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Redemption),Establish payoff process,Redemption Request,Capture payoff request,Redemption,Arrive at payoff date/ amount,Redemption Date,Requested date for mortgage redemption,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Redemption),Arrive at payoff calculation,Payoff Calculation,Calculate settlement amount,Statement,Final settlement amount,Settlement Amount,Amount required to fully redeem the mortgage,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Redemption),Generation of redemption statement,Statement Generation,Issue redemption statement,Statement,Redemption statement,Statement ID,Redemption statement,Customer Service,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Repayments Tracking (Redemption),Establish final settlement,Payment Settlement,Receive full repayment,Payment,Adjustment of amount toward final settlement,Paid Amount,Amount received towards final settlement,Payments Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Discharge & Closure,Release security and formally close the mortgage account,Account Closure,Close loan account in system,Loan Account,Loan account closure,Account Status,Loan account closure,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Discharge & Closure,Release security and formally close the mortgage account,Security Release,Remove mortgage lien,Security,Discharge / delink lien from collateral,Discharge Ref,Reference number for security discharge,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Discharge & Closure,Release security and formally close the mortgage account,Registry Update,Update land registry,Registry,Update land registry,DS1/eDS1,Registry discharge document reference,Legal,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Discharge & Closure,Release security and formally close the mortgage account,Customer Notification,Confirm closure to customer,Communication,Confirm closure ,Closure Confirmation,Confirmation issued upon mortgage closure,Customer Service,Agentic AI Mortgage Platform
